순위,선수,포지션,팀,경기수,세트수,시도,성공,실패,범실,성공률
1,비예나,OP,KB손해보험,35,136,1322,725,136,87,54.84
2,레오,OH,현대캐피탈,36,130,1101,583,71,73,52.95
3,파즐리,OP,삼성화재,34,124,1071,563,110,76,52.57
4,허수봉,OH,현대캐피탈,35,126,896,485,67,64,54.13
5,알리,OH,우리카드,35,130,808,451,67,64,55.82
6,신호진,OP,OK저축은행,35,113,822,413,94,63,50.24
7,임성진,OH,한국전력,36,143,885,407,93,90,45.99
8,막심,OP,대한항공,29,101,863,405,94,63,46.93
9,김지한,OH,우리카드,35,128,823,389,88,63,47.27
10,나경복,OH,KB손해보험,32,123,773,383,76,47,49.55
11,정지석,OH,대한항공,35,140,672,344,50,59,51.19
12,정한용,OH,대한항공,33,136,713,336,61,62,47.12
13,요스바니,OP,대한항공,15,59,638,317,48,51,49.69
14,김정호,OH,삼성화재,34,117,586,290,45,47,49.49
15,니콜리치,OP,우리카드,20,81,568,258,56,41,45.42
16,신펑,OP,현대캐피탈,36,116,525,254,49,51,48.38
17,차지환,OH,OK저축은행,29,84,474,220,45,34,46.41
18,구교혁,OP,한국전력,31,86,433,208,69,47,48.04
19,김민재,MB,대한항공,33,130,330,204,23,18,61.82
20,김우진,OH,삼성화재,30,75,385,200,59,28,51.95
21,김동영,OP,한국전력,36,118,368,190,37,36,51.63
22,그로즈다노프,OH,삼성화재,17,50,400,187,46,27,46.75
23,황경민,OH,KB손해보험,28,97,401,187,39,24,46.63
24,크리스,OP,OK저축은행,30,105,425,185,47,34,43.53
25,송명근,OH,우리카드,31,73,330,182,36,18,55.15
26,신영석,MB,한국전력,35,136,323,182,19,16,56.35
27,이상현,MB,우리카드,36,148,301,180,17,21,59.8
28,서재덕,OH,한국전력,30,112,394,176,46,29,44.67
29,윤하준,OH,한국전력,30,79,351,168,46,30,47.86
30,이준,OH,대한항공,19,66,339,166,31,20,48.97
