순서,선수,포지션,팀,경기수,세트수,시도,성공,실패,범실,성공률
1,실바,OP,GS칼텍스,32,124,2010,920,179,188,45.77
2,빅토리아,OP,IBK기업은행,36,135,2044,817,140,216,39.97
3,메가,OP,정관장,32,128,1494,718,134,123,48.06
4,모마,OP,현대건설,35,128,1620,663,118,98,40.93
5,니콜로바,OP,한국도로공사,36,145,1398,551,113,136,39.41
6,부키리치,OH,정관장,30,119,1334,546,94,142,40.93
7,김연경,OH,흥국생명,34,122,1134,522,22,80,46.03
8,테일러,OP,페퍼저축은행,31,117,1325,494,67,112,37.28
9,강소휘,OH,한국도로공사,36,142,1314,492,67,57,37.44
10,박정아,OH,페퍼저축은행,36,135,1238,418,67,64,33.76
11,정윤주,OH,흥국생명,35,124,965,363,50,74,37.62
12,육서영,OH,IBK기업은행,36,134,987,344,70,74,34.85
13,타나차,OH,한국도로공사,24,99,906,344,65,71,37.97
14,정지윤,OH,현대건설,35,125,850,328,58,67,38.59
15,이한비,OH,페퍼저축은행,34,116,933,314,67,54,33.65
16,투트쿠,OP,흥국생명,23,79,786,313,31,43,39.82
17,양효진,MB,현대건설,32,122,580,283,9,30,48.79
18,배유나,MB,한국도로공사,36,142,633,256,30,29,40.44
19,피치,MB,흥국생명,34,128,523,245,30,40,46.85
20,위파위,OH,현대건설,26,98,617,229,38,26,37.12
21,표승주,OH,정관장,33,131,685,227,51,28,33.14
22,권민지,OH,GS칼텍스,27,95,613,218,54,43,35.56
23,유서연,OH,GS칼텍스,30,112,599,211,62,27,35.23
24,황민경,OH,IBK기업은행,33,122,649,193,36,33,29.74
25,장위,MB,페퍼저축은행,36,142,469,189,24,32,40.3
26,이다현,MB,현대건설,34,130,372,187,15,21,50.27
27,정호영,MB,정관장,33,132,349,157,10,23,44.99
28,박은서,OH,페퍼저축은행,33,70,418,154,49,29,36.84
29,최정민,MB,IBK기업은행,36,134,396,151,19,17,38.13
30,이주아,MB,IBK기업은행,35,130,364,150,13,15,41.21
