순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,이다현,MB,현대건설,34,130,248,130,13,12,52.42
2,양효진,MB,현대건설,32,122,258,128,4,12,49.61
3,최정민,MB,IBK기업은행,36,134,215,95,11,5,44.19
4,배유나,MB,한국도로공사,36,142,199,88,9,5,44.22
5,장위,MB,페퍼저축은행,36,142,221,88,12,20,39.82
6,정호영,MB,정관장,33,132,200,87,9,11,43.5
7,김세빈,MB,한국도로공사,36,128,184,84,14,11,45.65
8,오세연,MB,GS칼텍스,36,140,217,81,12,10,37.33
9,박은진,MB,정관장,31,124,160,74,7,10,46.25
10,이주아,MB,IBK기업은행,35,130,161,63,7,7,39.13
11,피치,MB,흥국생명,34,128,144,54,11,9,37.5
12,뚜이,MB,GS칼텍스,18,72,90,46,3,4,51.11
13,김수지,MB,흥국생명,33,116,77,32,2,5,41.56
14,임혜림,MB,흥국생명,15,34,61,27,3,3,44.26
15,서채원,MB,GS칼텍스,17,59,46,16,5,1,34.78
16,나현수,MB,현대건설,35,95,33,15,1,0,45.45
17,염어르헝,MB,페퍼저축은행,10,36,31,12,2,2,38.71
18,하혜진,MB,페퍼저축은행,26,98,41,12,4,2,29.27
19,김현정,MB,한국도로공사,24,49,27,8,2,2,29.63
20,변지수,MB,흥국생명,7,15,15,6,0,1,40.0
21,김희진,MB,IBK기업은행,30,53,9,4,1,1,44.44
22,이지수,MB,정관장,15,27,21,4,0,5,19.05
23,최가은,MB,GS칼텍스,9,14,10,3,0,1,30.0
24,김채연,MB,IBK기업은행,15,19,8,2,0,1,25.0
25,최유림,MB,GS칼텍스,10,16,10,2,0,1,20.0
26,문지윤,OP,GS칼텍스,21,51,2,1,0,0,50.0
27,이예담,MB,정관장,6,14,4,1,0,0,25.0
28,강서우,MB,현대건설,1,4,6,1,1,0,16.67
29,임주은,MB,페퍼저축은행,5,11,5,1,0,0,20.0
30,김세인,OH,한국도로공사,29,57,0,0,0,0,0.0
