선수,팀,ADI,AER,ER,AEI,OCI
구교혁,한국전력,0.07768934738181504,-0.3254671878231511,2.4012949784350317,-0.24277687774435736,-0.39918470905158016
그로즈다노프,삼성화재,-0.7007546552611605,1.0592251039115776,-0.5405845649654094,-0.9327165506307753,-0.22941055159316492
김동영,한국전력,0.6565839521096578,-1.2203401125514173,1.6330204916962454,0.6533544108972619,-0.042899324921159665
김민재,대한항공,-2.6596402681484133,-1.4912820252987553,-1.4690942519264492,2.710434112487896,0.19335249682601122
김우진,삼성화재,0.041125208687038166,-0.2794917836269913,-0.16592276145481516,0.32437591441349256,0.08675099817589027
김정호,삼성화재,0.6141508812554661,-0.3377662814148958,0.3700231928176489,-0.27032552097283374,-0.0760363777107558
김지한,우리카드,0.49346545799302344,0.32589817514544644,0.10801243642075313,-1.0248424514569685,-0.21589731594024533
나경복,KB손해보험,0.4546490825609243,0.25812112413098165,-1.0206549033294832,-0.4841627181374428,0.08659295475094766
니콜리치,우리카드,0.6215784237487733,0.5979962020895039,-0.2049261335287898,-1.4635518841943032,-0.26003448386527295
레오,현대캐피탈,0.49969139095819265,1.2783531812099302,-0.6263530155814871,-0.11859155292563583,0.4597098234299251
막심,대한항공,0.5973307172375187,1.3135289105473866,-0.14629213645350406,-0.8892018114561652,0.13666339600911068
비예나,KB손해보험,0.7061979833175469,1.862729938942422,-0.6617588126705725,0.7703091192574254,1.0165315095350196
서재덕,한국전력,-0.13372429396156416,-1.033909896745695,-0.10307946622902556,-1.083992042848048,-0.7151974181931315
송명근,우리카드,-0.47069728604464406,-0.5656590443910499,-1.4690942519264492,0.843822591770166,0.22534937929178786
신영석,한국전력,-2.6596402681484133,-1.5676176259969519,-1.8281724644712642,1.8315548795291394,-0.14137527527755905
신펑,현대캐피탈,0.6222352972266394,-0.5631773790817365,1.5840503828928079,-1.1642860719603185,-0.6093549875371825
신호진,OK저축은행,0.6505979346247225,0.7203443112232797,0.11468715802630361,1.1009382633260991,0.7716421509898099
알리,우리카드,0.6061682698368094,0.22581995746538439,0.2985740074261636,1.0027065484912578,0.5792222754794352
요스바니,대한항공,0.7937007021231829,2.3731411661784425,0.35085213993910896,-0.22197581077882472,0.6678349287699656
윤하준,한국전력,-0.3857540071564443,-0.6018557559574448,0.7474111036620569,-0.2877082515481141,-0.43672685176392356
이상현,우리카드,-2.6596402681484133,-1.7269636414448566,-0.3780669575781042,1.9465246794613058,-0.2802344098559847
이준,대한항공,0.05785234808562183,-0.2780766494964009,-1.1500286657637775,-0.3960347674772612,-0.0984671157672215
임성진,한국전력,0.607501892904008,0.21341031970482205,1.9103165623474498,-0.7544953016204897,-0.28760172373073334
정지석,대한항공,0.32586724047163756,-0.43515653799194143,0.9142357507367026,0.1406470156762516,-0.06248709318324561
정한용,대한항공,0.8875605407249177,-0.22844290094554487,0.8539505789142897,-0.843269586771857,-0.2579234826553286
차지환,OK저축은행,0.18040755708005587,-0.041547087669139324,-0.23740474194482028,0.08432639310277026,0.09218614878831927
크리스,OK저축은행,-0.6073957713481857,-0.7865141264156855,0.3553458347338388,-0.6801232638797808,-0.6560613634662641
파즐리,삼성화재,0.9119686219106675,1.3567456424961994,-0.2924678921822193,0.4742600160149225,0.7861293617259076
허수봉,현대캐피탈,0.5781659190194156,0.644119092271711,-0.2590064393456462,0.15141272113583754,0.3920369852116813
황경민,KB손해보험,-0.707241951040396,-0.7461650884654184,-1.0888671586965708,-1.1766122011606943,-0.7251099244710744
